English,Icelandic
morphological analysis,orðhlutafræðileg greining
morphological disambiguation,orðhlutafræðileg einræðing
morphological parsing,orðhlutafræðileg þáttun
mortal danger,lífsháska
mortgageable,veðhæfur
mortgage,veðbönd
moss phlox,lyngljómi
most dangerous,skæðasti
most,megnið
most suitable,heppilegast
motorcycle gang,vélhjólalið
motorscooter,skellinöðruna
motorway,hraðbraut
mountain range,fjallgarður
mourner,líkfylgdarmaður
mourner,syrgjandi
mourn,sútar
mousse,frómas
mouth of the cave,hellismunnanum
mouth ring,munnhring
moveable assets,lausafjármunum
moveable,færanlega
moveable,færanlegur
move about restlessly,iða
move,bær
move,bæra
move,bifa
move,færðir
move forward,fara í farvegi
move oneself,bærast
move quickly,bregða
mow,slá
m. pectoralis major,stóri brjóstvöðvi
mucilage,jurtaslím
muddled,brengluð
mud,drulla
muddy,gruggugur
mug,krús
multicolored,marglitur
multi-,fjöl-
multilingual corpora,margmála málheildir
multilingual generation,margmála málmyndun
multilingual information retrieval,margmála upplýsingaheimt
multilingualism,margmæli
multilinguality,margmæli
multilingual speech processing,margmála talvinnsla
multimedia documents,margmiðlunarskjöl
multimedia information extraction,útdráttur margmiðlunarupplýsinga
multimedia information retrieval,margmiðlunarupplýsingaheimt
multimedia retrieval,margmiðlunarheimt
multimixer,steinvinnsluvélina
multimodal communication,fjölhátta samskipti
multimodal communication,marghátta samskipti
multimodality,fjölskynjun
multimodality,fjölskynþátta
multiple choice question,fjöl-val spurning
Multiple comparisons,margföldum samanburði
multiple regression,fjölbreytuaðhvarfsgreiningu
multivariate statistics,margbreytitölfræði
mumble,uml
munching,japlandi
murderer,bani
muscle cell,vöðvafruma
muscle fiber,vöðvaþráður
muscle tension,vöðvaspenna
mush,mauk
must be,hljóta
muster up some courage,bíttu á jaxlinn
must,hlotið
must,hlyti
mutation,stökkbreyting
mutual,gagnkvæm
mutual help,samhjálp
mutual,innbyrðis
mutually,sameiginlega
mycosis,sveppasýking
mystic,dulspekingur
myth,mýta
nail down a time,negla hann niður
nail it down,negla hann niður
nail,negla
named entity,nefnd eining
named entity recognition,nafnakennsl
named entity recognition,nafnaþekkjari
named entity,sérheitaeining
narcissistic personality disorder,sjálfsdýrkunarpersónuleikaröskun
narrative,frasögnin
narrative,frásögnum
narrator,þulur
narrowed,kipraði
narrow,krappur
narrow,mjór
narrow,þröng
narrow,þröngur
narwhal,náhvalur
narwhal,náhveli
nasal root,nefrót
natant,fljótandi
nationality,ríkisfang
native,frumbyggjarnir
natural drug,náttúrulyf
natural,hispurslaus
natural language generation,gerving náttúrulegs máls
natural language generation,myndun náttúrulegs máls
natural language parsing,þáttun náttúrulegs máls
natural language processing,málvinnsla
natural medicine,náttúrulyf
natural remedy,náttúrulyf
natural science,raunvísindi
neck,stútur
needle,saumnál
needlework,saumsaskapinn
needy,þurfandi
neglected,vanrækti
negotiable document,viðskiptabréf
negotiate,semja
neighborhood,grennd
neighborhood,nærumhverfi
neigh,hneggja
neoliberalism,nýfrjálshyggjunnar
nepobaby,laundóttir
nerd,lúði
nerd,nörd
nerd,proffi
nervous,smeyk
nervous system,taugakerfi
nervous,taugaóstyrkur
nervous wreck,taugahrúga
nest,hreiður
net income,ráðstöfunartekjur
net present value,hreint núvirði
neural networks,tauganet
neurodegenerative disease,taugakerfissjúkdóm
neurodevelopmental disorder,taugaþroskaröskun
neurotic,hugsjúkur
neurotic,taugaveiklaður
New Holland honeyeater,hunangsfugl
new icelander,íslendingur sem var ekki fæddist á Íslandi
new icelanders,framtíð
news,fregn
newsreader,þulur
New York,Nýju Jórvík
next to,við hliðina á
n-grams,n-stæður
nibble,naga
niche,kima
niche,kimi
nicknamed,uppnefndu
nimble,liðugur
nincompoop,bjálfi
nip,glefsaði
nobility,aðall
noble,drengilegur
noble,göfugur
no ceasing,ekkert lát
nod,nikkar
noise,hávaði
noisy channel model,truflunarlíkan
nominal interest rate,auglýstir vextir
nominal interest rate,nafnvextir
nominal interest rate,uppgefnir
non-binary sexuality,kynsegin
non-cash items,ófjárhagslegir liðir
non-current assets,fastafjármunir
non-fiction books,fræðibækur
nonsense,bullið
nonsense,heimskuhjal
nonsense,kjaftæði
nonsense,vitleysa
nonsense,þvaður
nonsense,þvæla
nonsense,þvættinginn
non-textual format,á öðru sniði en sem texta
noose,hengingaról
noose,lykkja
normal costing,álagsaðferð
normalized,staðlaður
normal standards,raunhæfur staðall
nose bridge,nefrót
nose,nef
not aligned,skakkur
notebook,hefti
not,eigi
notes payable,nýja lánið
notice,koma auga á
not quite,ekki alveg
not standing straight up,skakkur
novelty,nýmæli
no way!,glætan!
nozzle,stútur
NPV,hreint núvirði
NRV%,NV%
nuclear fusion,kjarnasamruna
nudge,hnippa í
nugget,málmstykki
nugget,naggur
nuisance,trafala
Null hypothesis,núlltilgátan
nullification,fyrning
numbness,doði
numeral,tölunafnorð
numeral,töluorð
nurse shark,fósturháfur
nurse shark,skeggháfur
Nutrient Reference Value,næringarviðmiðunargildum
nylon,nælon
oarfish,síldakóngur
obesity,offita
obey,hlýða
objectify,hlutgera
objectional,aðfinnanleg
objection,múður
objections,mótbárur
objective function,kostnaðarfall
objective,hlutlæga
obligingness,lipurð
obliquely,á ská
obliterate,afmá
oblivious,grandlaus
oblong,aflangur
Oblong Woodsia,Liðfætla
obnoxious,frekur
obscure,torskilinn
obsequious,smeðjulegur
observation,athugun
observation,eftirtekt
observed value,athugun
obsession,þráhyggja
obsessive thoughts,þráhyggjuhugsunum
obstacle course,hreystibraut
obtain,fengnar
obtain,öðlist
obtain,svældur út úr
obtain,útvega
occasion,tilefni
occupants,ábúendur
occupational therapist,iðjuþjálfi
occupied with,fá
occurance,tilfelli
occur,ske
OCR: handwriting,ljóskennsl: skrift
OCR: print,ljóskennsl: prent
octagon,átthyrningur
octave,áttund
octopus,kolkrabbi
of course,vitaskuld
offend,misbjóða
offend,móðga
offensive,sókn
offer or invite,bjóða
offer,tilboð
offer,veita
office equipment,skrifstofutækja
offspring,afkvæmi
ogre,tröll
ogre,þursarnir
oil filter,olíusía
ointment,áburður
old age,elli
old hay,fyrning
old icelander,Íslendingur fæddist á Íslandi
Old Maid,Svartapétur
omnivore,alæta
on board,innbyrðis
One sample t-test,t-prófi eins úrtaks
one variable,einni breytu
ongoing,á döfinni
on guard,á verði
on its side,um koll
onomatopoeia,hljóðgerving
onomatopoeia,hljóðgervingur
onomatopoeia,hljóðlíking
on the agenda,á döfinni
on the southside,sunnanvert
ontological language resources,veranleg málgögn
ontological resources,veranleg gögn
ontologies,verufræði
open,ber
open,hispurslaus
opening balance,upphafsstóðu
opening ceremony,setningarathöfn
opening,op
open minded,hugsunin víðfeðm
operating budget,rekstraráætlun
operating costs,rekstrargjöldin
operating expense,rekstrarkostnaður
operating expenses,rekstrargjöldin
operating expenses,tímabilskostnað
operating income,rekstrarhagnaður
operating plan,rekstraráætlun
operating profit margin,rekstrarhagnaðarhlutfall
operating profit,rekstrarhagnaður
operating system,stýrikerfi
operational assets,varanlegir rekstrarfjármunir
operation,starfsemi
opinion piece,pistill
opportunity,forvöð
oppose,sporna við
opposing party,gagnaðilinn
opposite,gagnstæður
oppression,kúgun
opthalmologist,augnlæknir
options,afleiðing
oral contract,samkomulag
orange,rauðgult
order (biology),ættbálkur
ordinance,ákvörðun
ordinance,fyrirskipun
ordinance,ráðstöfun
Oregon,Oregon
original language,frummál
original source,frumheimildir
original text,frumheimildir
ornithopter,blakvængja
oscillate,rokka
oscillating,rokkandi
os,stýrikerfi
ostracize,útskúfa
otherwise great,annars ágæta
ouch,á
ouch,ái
outcome,útkoma
outer garment,yfirhöfnina
outer space,geiminn
outlet,útsölumarkaður
outlet,útsölustaða
outliers,einförum
outline,móta
out-of-domain,utan óðals
out of it,eins og barðir hundar
out of one's mind,frávita
out of stock,búið i bili
output,frálag
output,skil
output,úttak
outshine,skara fram úr
outside of the foot,jarki
outsource,útvista
outsource,útvistun
outsourcing,úthýsing
outstanding,framúrskarandi
outstretched arms,fangið
oven,bökunarofn
overall company image,heildarímynd fyrirtækisins
over applied,ofáætlaður
overcosted,ofmetinn
overcosted,ofreiknaður
overcosted,ofreiknuð
overdraft fee,FIT = færslur innistæðulausra tékka gjald
over,fyrir bí
overhead cost,óbeinn kostnaður
overhead rate,álagsstuðullinn
overhead rate,skiptistuðull
overlap,skarast
overlap,skörun
overlooked,yfirsést
overshadowed,skyggði á
over-the-counter drug,lausasölulyf
over-the-counter,lausasala
overturn,kollvarpað
overview,yfirlit
overweight,ofþyngd
overwhelmed,yfirbugaður
overwhelmed,yfirþyrmdur
overwhelming,yfirþyrmandi
owner's equity ratio,eiginfjárhlutfall
owner's equity ratio,tapsþol
own initiative,frumkvæði
oxygen,súrefnis
oystercatcher,tjaldur
oyster mushroom,ostrusveppur
oyster mushroom,ostruvængur
pace,kólfur
pacemaker,héri
pacesetter,héri
packaging,umbúðir
packed,troðinn
packet soup,pakkasúpum
pack his bags,tók föggur sínar
packing machines,pökkunarvélar
pack,troða
pact,sáttmáli
padding,tróð
paid immediately,staðgreiðsla
paid on location,staðgreiðsla
pain,harmkvæli
pain,kvöl
paintbrush,pensill
pain,verkur
palace,slot
palatalization,framgómun
pallet,bretti
pamper,eftirlæti
pancake,pönnsa
pancreas,bris
pancreas,briskirtill
panorama,víðsýni
panted,másuðu
pantry,búr
paper,pappír
parallel bars,tvíslá
parallel corpus,hliðstæð málheild
parallel corpus,samhliða málheild
paralyzed,lamaðist
paralyzed,lamaður
parameter,færibreyta
parameter,stiki
parapet,brjóstvirki
parasite,afæta
parasite,smjaðrari
parasite,sníkill
parasite,sníkjudýr
paring knife,skurðarhnífur
parish,sókn
parole,náðun
parser,þáttara
parser,þáttari
parse tree,þáttunartré
parsing,setningafræðileg greining
parsing techniques,þáttunaraðferðir
parsing,þáttun
parsing,þáttun greining
partial eclipse,deildarmyrkvi
partial parsing,hlutaþáttun
partial parsing,hlutþáttun
partial/shallow parsing,grunnþáttun
partial/shallow parsing,hlutaþáttun
partial/shallow parsing,hlutþáttun
particularly,einkum
part,íhlutir
partition,skilrúmið
part,liðum
partnership,samstarfsins
part-of-speech,orðflokk
part-of-speech tagging,málfræðileg mörkun
part-of-speech tagging,mörkun
part-of-speech tagging,orðflokksmörkun
party,flokkur
party,fylking
par value,nafnverð
passable,viðunandi
passenger pigeon,flökkudúfa
passion,ástríðan
pass out,yfirliðakast
pastime,tómstundaiðja
pastry,bakkelsi
pastry,kruðerí
pastry,sætabrauð
patch,blettunum
patent Cooperation Treaty (PCT),samstarfssamningur um einkaleyfi
pathologist,meinafræðingur
patronizing,lítillátur
patronizing,yfirlætislegur
patron saint,verndardýrlingi
pave the way,ryðja brautina
pawn,peð
payment plan,greiðsluáætlun
payment schedule,greiðsluáætlun
payment terms,greiðslukjör
payment,útborganir
payroll,launaskrá
peace talks,friðarviðræðum
peacock,páhani
peafowl,páfugl
peahen,páhæna
Pearson’s r,fylgnistuðul Pearsons
peashooter,baunabyssa
pebble,steinvala
peel,afhjúpa
peel,afhýða
peeled,afhýdd
peel,pilla
peep hole,gægjugat
peer chat,jafningjaspjall
peer-reviewed material,rítrýnt efni
peg,pinni
peignoirs,morgunklæðnaður
penal code,hegningarlögum
penalty shoot-out,bráðabani
pendant,dingull
pendant,men
pendulum,dingull
penguin,mörgæs
penis,deli
pension,eftirlaun
penthouse apartment,þakhýsi
pepper,paprika
perceive,skynja
perception,skynjun
perception,skynjun málhljóða
perceptron,skynjunarnet
perceptron,skynjunganet
performance,frammistaða
performance,frammistöðu
perform,þreyta
period costs,rekstrargjöldin
period costs,tímabilskostnað
period costs,timabilskostnaður
period costs,tímabilskostnaður
period cost,tímabilskostnaður
periodic rate,tímabilsvextir
perish,farast
perish,farist
per item,per stykki
perk,hlunnindi
permanent,varanlegur
perpetuate,varðveita
perpetuate,viðhalda
perpetuator,varðveitandi
perpetuity,eilífðarbréf
perpetuity,sígreiðslur
persecute,ofsækja
perseverance,þol
perseverance,þrautseigja
persevering,þrautseigur
personality disorders,persónuleikaraskanir
personality trait,skapgerðarvandi
personalize,sérsníða
person sitting next to you,sessunautur
perspective,sjónarmið
perspectives,sjónarhornin
pertinent,tilheyri
perverse,geðvondur
perverse,rangsnúinn
perverse,þvermóðskufullur
perverse,þverúðarfullur
pervert,perri
pervert,pervert
perv,perri
perv,pervert
pesto,pestó
petal,krónublað
pet,eftirlæti
petite,smágerður
petrified,lamaður
petty,smávægilegir
phantom,draugur
phantom,vofa
phenomenon,fyrirbæri
phoneme,hljóðana
phone minutes,inneign
phonetics,hljóðfræði
phonetic transcription,hljóðritun
phonology,hljóðkerfisfræði
pH,sýrustig
physical condition,heilsufar
physical units,framleiðslueiningar
pickle,súr gúrka
pick,pilla
pidgin,millimál
piebald,skjóttur
piece,stykki
piecework,akkorð
piecework,ákvæðisvinna
pier,súla
pigeon,dúfa
pile,hrúgar
pile,hrúgu
pile,stafli
pilfer,nappa
pillar,súla
pill bottle,pillubox
pill,pilla
pimple patch,bóluplástur
pinholes,nálaraugu
pin,pinni
pioneer,brautryðjandi
pipe dream,loftkastalar
pipe,hólkur
pipeline,leiðsla
pipe,pípa
pip,steinn
Pisces,Fiskar
Pisces,Fiskur
pistachio,pistasía
piston,bulla
pitch dark,niðamyrkri
pitchfork,heykvísl
pitch,hljómfallseinkennin
pit,díki
pit,gröf
pit,gryfja
pit,steinn
pity,vorkenna
pixies,grikkálfar
place,kima
place name,örnefni
place,sess
plait,flétti
plan,áform
plan,meiningu
planned,á döfinni
planning,áætlun
plan,ráðgerðra
plant,urt
plaster,gifs
plateau,staðna
platform,verkvangur
platysma,hálsflatningur
playboy,glaumgosi
playful twinkle,kátínuglampinn
play hooky,skrópa
please,þóknast
pleco,pleco
pliant,auðsveipur
plogger,plokkari
plogging,plokka
pluck,hnippa
pluck,plokka
pluck,reyta
plunder,gripdeildir
plutocrat,auðfýkingur
pms,firirtíðaspenna
poacher,veiðiþjófur
pockmarked,hrjúft
poignant,átakanlegt
point-blank,afdráttarlaust
point-blank,beint
point-blank,blátt áfram
point-blank,hreint út
point blank range,dauðafæri
point-blank,stuttur
point-blank,þráðbeinn
point,liðum
point of intersection,skurðpunktur
point of sale,posi
poke,hnippa í
poker,póker
polarization,pólun
polarization,skautun
pole,staur
pole,súla
policy,stefnu
polisexuality,fjölkynhneigð
polish,bón
polished,bónað
political connections,stjórnmálaleg tengsl
pollen allergy,frjóofnæmi
poly-,fjöl-
polysexuality,fjölkynhneigð
pommel horse,bogahestur
ponder,spekúlera
ponder,vega
ponytail,tagl
pooling society,samlagsfélag (slf)
pool of acid,sýrupolli
pool with jets,iðulaug
poor,fátækur
poor,snauður
popper,smella
popular,eftirsóttur
Population,þýði
porcelain,postulín
porcini,kóngsveppur
pore,gropa
pore,munnur
pore,op
portable classrooms,færanlegar kennslustofur
portable classrooms,gámakennslustofur
portal,skrauthlið
portal,skrautinngangur
porthole,kýraugun
P.O.S.,posi
possess,eiga
possessive,eignarfall
possible,auðið
possible,kleifur
possible,mögulegur
possible,unnt
pos tagging,málfræðileg mörkun
pos tagging,mörkun
pos tagging,orðflokksmörkun
postpone,fresta
postponement,töfinni
postpone,skjóta á frest
postulates,forsendur
potable water,neysluvatn
potassium chloride,kalíumklóríð
potholes,brotholur
pot,ker
potluck,pálínuboð
potpourri,syrpa
potrait hallway,portrettganginn
potter,leirkerasmiður
pouch,tuðra
poultry,alifugla
poultry,hænsni
pound,börðu
pouring off of,boga
poverty,fátækt
poverty,skortur
powerful,hamrammur
powerful,öflug
power,máttur
power of attorney,umboð
power strip,fjöltengi
Power,styrk
practical,hagnýtur
practitioner,iðkandi
pragmatics,málnotafræði
pragmatics,málnotkunarfræði
Praise sandwich,LokSamloka
Praising,Hrósa
preach,prédika
pre-aspiration,aðblástur
precast,forsmíðaður
preceding,á undan
precinct,umdæmi
precious,dýrindis
precious,dýrmætur
precious object,djásn
precipitous,snarbröttu
precipitous,þverhníptur
precision,nákvæmni
precondition,forsendur
precursor,undanfari
predator,rándýr
predatory (toward men),vergjörn
predetermined indirect costs,úthlutaður óbeinn kostnaður
prefabricated,forsmíðaður
prefer,frekar
prefer,kjósa
prefer,vilja heldur
prefix,forskeyti
pregnant,þunguð
prejudice,hleypidómur
preliminary prototype,frumgerð
premature,ófullburða
premenstrual syndrome,fyrirtíðaspenna
premise,forsendur
premiss,forsendur
premium,iðgjald
premonition,hugboð
pre-order,forpöntun
prepare food,matreiða
pre-processing,forvinnsla
prerequisite,forsendum
prerequisite,forsendur
presence,viðurvist
presentation and visualization,kynning og framsetning (sjóngerving?)
presentation,framsetning
presentation,reifun
presented,sett fram
presenter,þulur
present,lagt fram
present value,afvöxtun núvirði fundið
present,viðstaddur
preservation,varðveislu
press fastener,smella
pressoreceptor,þrýstinemar
press stud,smella
pressure receptor,þrýstinemar
pressures,kröfur
presupposition,forsendur
pretend,getið látið e-ð vera
pretend,þykjast
pretension,sýndarmennska
pretty,fegra
pretzels,saltkringlur
pretzels,saltstangir
preventative measures,forvarnar
prevent,sporna við
price-earnings ratio,v/h-hlutfall
price to book ratio,v/i-hlutfall
pricing,verðlagningu
pride,dramb
pride,hroki
pride,stolt
primaries,prófkjöri
Priming,Undirbúningsr
primitive,frumstæðu
primitive,frumstæður
primitive,upphaflegur
primrose,laufeyjarlykill
principle of compositionality,blendilögmálið
printout fee,útskriftargjald
private,einkasvæði
private home loan interest subsidy,vaxtabætur
private life,einkahögum
probabilistic context-free grammars,líkindafræðilegar samhengisfrjálsar mállýsingar
probabilistic parsing,líkindaþáttun
probabilistic tagging,líkindamörkun
probiotic,góðgerill
problem,verkur
procedural law,réttarfar
procedure,fyrirtöku
proceedings,fyrirtöku
process cost flow,ferlisbókhald
process costing,ferlisbókhald
process costing,ferliskostnaður
processed foods,unnin matvæli
processed,unninn
process,flæði
processing,úrvinnslu
process,starfsemi
process,unnar
procrastinate,fresta
procrastinate,skjóta á frest
procrastination,frestun
procurement,innkaup
procure,útvega
produce,afurð
produce,afurðir
product,afurðir
product costs,afurðakostnaður
product costs,framleiðslukostnaður
production budget,framleiðsluáætlun
production,framleiðsluna
product level,vörustig
profitability,arðsemi
profit,afkomu
profit,ágóðinn
profit and loss account,rekstrarreiknings
profit,arðsemi
profit,ávinningurinn
profit,græða
profit,hagnaður
profit margin,framlegð
profit margin,hagnaðarhlutfall
profits,afkoma
profligacy,eyðslusemi
programming environment,forritunarumhverfi
program,starfsemi
progress,framþróun
progressive capitalism,framfarakapítalisma
progressive,framsækið
progressive,framsækinn
project,áform
project,iðja
projector,sýningarvél
project,verk
project,verkefni
promise,fyrirheit
promise,heit
promise,vilyrði
promising,arðvænleg
prompt,án tafar
Prompting,Stikkorð
prompt,skjótur
prompt,tafarlaus
pronunciation dictionary,framburðarorðabók
pronunciation,framburður
proof,sönn
proper conduct,viðeigandi hegðun
property plant and equipment PPE,varanlegir rekstrarfjármunir
prop,hlut
proposition,forsendur
props,leikmunir
prosecuting attorney,sækjandi
pros,kostir
prosobranchia,fortálknar
prosody information processing,úrvinnsla hljómfallsupplýsinga
prospectus,bodsrit
protection,hlífð
protection,skjól
protégé,skjólstæðingur
protein,eggjahvíta
protein,eggjahvítuefni
protein,hvíta
protein,prótín
protracted,langvarandi
protrude,blasa
proud,drambsamur
proud,fagur
proud,hreykinn
proudly,hróðugur
proud,montinn
proud,stoltur
provide,veita
province,umdæmi
provisional estimate,bráðabirgðaútreikningur
provisions,skuldbinding
provoke,etja
prudery,tepruskapur
prudery,tilgerðar-siðvendni
prudery,uppgerðarsiðvendni
prude,tepra
p.s.,e.s.
psoriasis,sóri
psychiatric emergency department,BMG
psychiatric emergency department,bráðamóttaka geðsviðs
psycholetic,hugslakandi
psychopath,ofsóknaræði
puberty,gelgjuskeið
public domain,almenningseiga
public registration,þinglýs
publish,birta
pucker,kipra
pucker up,setja stút í munninn
puddle,pollur
pull requests,togbeiðnir
pull,svipta
pull,togum
pull,trekkja
pull-up,upphífing
punctuation,greinarmerkjasetning
pungent,rammri
punishable,refsivert
punishable,saknæma
puppet,handbendi
puppet,strengjabrúða
puppy dog eyes,eins og barinn hundur
purchasing,innkaup
purée,mauk
Purkinje cell,purkinje frumur
purposeful,markvisst
purr,mala
pursue,stundaðar
push,hrinda
pushiness,frekjunni
push out,koma frá manni
pushup,armbegyja
pushy,frekur
put decision immediately in effect,hrinda í framkvæmd
Pyrex,eldföstu móti
quail,kornhæna
qualitative analysis,eigindargreining
qualitative,eigindlega
qualitative,eigindlegur
quality assurance,gæðaeftirlit
quality control,gæðaeftirlit
quality measures,gæðamælikvarðar
quality standards,gæðamælikvarðar
quantitative analysis,megindargreining
quantitative,megindlega
quantitative,megindlegur
quantities,stærðir
quantity,stærð
quantum mechanics,skammtafræði
quantum physics,skammtaeðlisfræði
quantum physics,skammtafræði
quantum theory,skammtafræði
quarrel,erjur
quarrel,þræta
quarter,ársfj.
quarter,ársfjórðungi
quarterly,ársfjórðung
quartet,kvartett
queasy,óglatt
queef,píkufret
queen,drottning
quell,kveða niður
query analysis,spurnargreining
query language,fyrirspurnarmál
question answering,spurnasvörun
quick glance,skotra
quick,í einum grænum
quickly,fljótheitum
quickly,hart
quick,ör
quick ratio,lausafjárhlutfall
quick,skjótur
quick,snöggur
quiet,fáfarinn
quiet,hljóður
quiet,næði
quip,tilsvar
quit dilly-dallying and get a move on,áfram með smjörið
quite a bit,allnokkurn
quite,alveg
quite,frekar
quite varied,ansi víða
quiz,getraun
quokka,lítil kengúra
quokka,stutthalafía
rabbit,héri
rabbit,kanína
rabble,mannþröng
rabble,skríll
rabies,hundaæði
race,kapphlaup
racer,ökuþór
rack heights,hæðtökublað
rack one's brains,braut heilann
racquet,spaði
radioactivity,geislavirkni
radio,talstöð
radiotelephone,talstöð
rad,reið
rafter,sperra
rafter,sperrur
raft,fleki
ragebait,bræðibeita
ragebait,ofsabeita
ragebait,reiðibeita
rage,geisa
ragged,tætt
rag,pjatla
raido,reið
rain shower,skvetta
raise,hefja
raise livestock,kvikfjárrækt
rake,hrífa
rake,raka
ram,hrútur
ranch,búgarðinum
ranch,búgarður
range,drægni
range,spönn
rapidly,hraðast
rapid,ör
rapid,skjótur
raptors,ránfuglar
rare,fágætur
rarely travelled,fáfarinn
rascal,þorparinn
rate of exchange,gengi
rather,frekar
rather,fremur
rather than,yfir því að
rationality,skynsemi
rational,rökfestu
rat race,lífsgæðakapphlaup
rattling,skjótur
rave,sukkveisla
raw material,efniviður
raw materials,hráefni
raw materials inventory,hráefnisbirgðir
raw materials inventory,hráefnislagerinn
raw materials stock,hráefnislagerinn
reach out for,tegyja sig eftir
reach,seilingar
react,bregða
react,bregðist
reaction,viðbragð
reaction,viðbrögð
reaction,viðbrögðum
readily,gjarnan
readily,gjarnt
read,numið
ready,skjótur
ready,viðbúinn
ready-witted,skjótur
reality,staðreynd
reality,veruleika
reality,veruleiki
really improved,snarskánaði
real,verulegar
rear one's head,gera vart við sig
reasonable,viðunandi
reason,orsakir
reason,skynsemi
reassure,hughreysta
rebetika,gríska tonlist
rebound,skoppa
recall,afturkalla
recall,heimt
recall,lærdóm
receive,þiggja
reception,viðtöku
recessive gene,hvarfagen
recessive traits,víkjandi eiginleikar
recessive,víkjandi
recieve,fengnar
reckon,telja
recliner,hægindastóll
recliner,hægindi
recognition task,kennslastarf
recognition task,kennslaverkefni
reconciliation,sátt
reconciliation sheet,samræmingarblaði
reconstruction,viðreisn
record,breiðskífa
record,skráir upplýsingar
recover,innheimtist
recover,jafna sig
recurrent neural networks (RNN),endurkvæm tauganet
redfish,karfi
red lynx,rauðgaupa
red ocean perch,karfi
redpoll,auðnutittlingur
red sorrel,Hundasúra
red tape,skrifræði
reduce,rýri
reference corpus,viðmiðunarmálheild
reference,tilvísun
reference,viðmið
reference,vísun
reference year,viðmiðunarárið
referent,merkingarmið
refer,hliðsjón
referring expression,vísandi segð
refill,áfylling
refined carbohydrates,hreinsuðum kolvetnum
refinement,fágun
refine,unnar
reflector,endurskinsmerki
reflect,spekúlera
reform,úrbóta
refugee,flóttamaður
refuge,neyðarskýli
refuse absolutely,þvertaka
refuse,synja
regard,álitin
regards,varða
regard,telja
regimented,agaður
region,umdæmi
register of goods being carried and under which terms,farmskirteini
register of judgements,dómasafni
regret,iðraðist
regular expression,regluleg segð
regularly,að staðaldri
rehabilitation,endurhæfing
rehabilitation,endurreisn
rehabilitation,viðreisn
rehash ideas,éta eitthvað upp eftir
reify,hlutgera
rejection,höfnun
reject,synja
rejoinder,tilsvar
relation extraction,útdráttur vensla
relations between Icelandic women and foreign soldiers,bransinn
relative,tiltölu
relative to,að miða við
relative to,miðað við
relevance ranking,gildisröðun
relevant costs,viðeigandi kostnaður
relevant range,viðmiðabils
relevant,viðeigandi
reliable,ábyggilegir
reliable,áreiðanlegur
relieved,létti
religion,trúarbrögð
rely on,reiða sig
remains,liggja fyrir
remarkable,markverðu
remember,muna
remind,hnippa í
remorseful,iðrandi
remove any shadow of a doubt,ganga úr skugga um
remove,firra
remove,fjarlægja
REM-sleep,draumsvefni
remuneration,umbun
remuneration,þóknun
rennet,hleypir
rennet,ostahleypir
renovate,gera upp
renowned,sögufrægur
renown,orðstír
repair,viðgerðir
repeat,árétta
report,miðlar
report,skothvellur
report,skýrslur
repossession,fjárnáms
repossession,nauðungarsölu
reprecussion,bakslag
representations of space and time,birtingarform rúms og tíma
reprisal,hefnd
reproach,álasað
reprobate,lastafullur
reputation,orðspor
request,krefst
required rate of return,ávöxtunarkrafa
requisite,tilskilins
rerun,endursýninga
research,gagnaöflunar
resentful,beiskur
resentful,gramur
resentful,hvekktur
resent,gremjast
resentment,gremja
residence,aðsetur
resolutely,statt og stöðugt
resolution,ályktanir
resolution,ályktun
resolution,upplausn
resort to,gripið til
resound,óma
resources,forðar
resources,tilföng
resource,úrræði
respect not,virtir ekki
response,viðbrögð
resting position,hvíldarstöðu
rest,kasta mæðinni
result,afrakstur
result,árangur
result,niðurstaða
result,skila
result,útkoma
retained earnings,hagnaður/tap fyrri ár
retained earnings,óráðstafað eigið fé
retained earnings,óraðstafað handbært fé
retained profits,óráðstafað eigið fé
retain payment,haldið eftir greiðslu
retarded,þroskaheftur
retina,sjónhimna
retinoschisis,sjónurof
retort,tilsvar
retrieve,heimta
retrieve,sækja
return,arðsemi
return on assets ROTA,arðsemi heildareigna
return on equity ROE,arðsemi eigin fjár
revealed,fram kom
revenge,hefnd
revenue side,tekjuhlið
revenue,tekjur
revenue,tekjurnar
reverberation,bergmál
reverend,síra
reverend,sr.
reverse,afturábak
reverse,afturábakgír
reverse,bakkgír
reverse gear,afturábakgír
reverse gear,bakkgír
reverse,öfugt
reversible,afturkræfur
review results,meta árangur
review,umsögn
revised,umsömdum
revision,endurskoðun
revoke,afturkalla
revoke,hnekkja
Reykjavik University,Háskólinn í Reykjavík
Reykjavík University,Háskólinn í Reykjavík
Reykjavik University,Háskólinn við Nauthólsvík
Reykjavík University,Háskólinn við Nauthólsvík
rheumatic fever,gigtsótt
rheumatism,gigtsótt
rhythm,hrynjandinni
ribbon,ræma
rich in fiber,trefjaríkur
ricochet,skoppa
ricotta pancakes,ostapönnukökur
ride,akstur
riding,reið
rifle,riffill
right of suspension,afhendingardrátt
right of suspension,stöðvunarrétt
right to use another's land,ítak
rigour,hörkunni
rinse,skola
rinse,skoli
river,fljót
roars of laughter,hlátrasköll
Robin Hood,Hrói höttur
robotic,vélræn
robust,harðgerðar
rock climbing,klettaklifur
rockfish,karfi
Rockies,Klettafjöllin
rock ridge,klettahrygg
rock,rokka
rocks,grjóti
Rocky Mountains,Klettafjöllin
roe,hrogn
role-play,spunaspil
rolling pin,kökukefli
roll one's eyes,ranghvolfa augunum
roll,valt
